Fecha,Hora,Lugar,Observador,Barrio,Decada,Sexo,Conocimiento,ComoConoce,ConoceZP,AsistCiclovia,ComoParticip,ConQuien,CirculaSinCoche,FrecSinCoche,Acuerdo,FrecFuturo,Horario
17/01/2016,10h00-12h00,Parque Bolivar,D,Las Peñas,90s,Mujer,Si,Municipio,Si,No,NA,NA,Bus,Cada día,Acuerdo,De vez en cuando,Mañana
42019,15h00 -17h00,Loja,I,Las Pitas,90s,Mujer,Si,Municipio,No,No,NA,NA,A pie,Cada día,Desacuerdo,NA,Mañana
17/01/16,11h00-13h15,Parque Bolivar,E,Cuarto centenario,60s,Hombre,Si,Municipio,No,No,A pie,Familia,A pie,NA,Desacuerdo,Mensual,Tarde
42386,12h00-13h00,Punzara,A,Isidro Ayora,90s,Mujer,Si,Municipio,No,No,NA,NA,A pie,NA,Acuerdo,De vez en cuando,Mañana
42386,15h00 -17h00,Loja,H,Las Pitas,90s,Hombre,Si,Municipio,No,No,NA,NA,A pie,NA,Ni uno ni otro,Mensual,Mañana
42386,15h00 -17h00,Loja,H,Las Pitas,90s,Hombre,Si,Municipio,No,No,NA,NA,A pie,Mensual,Ni uno ni otro,Mensual,Mañana
17/01/2016,10h00-12h00,Parque Bolivar,D,San Cayetano,40s,Hombre,Si,Municipio,Si,Si,A pie,Sólo,A pie,Cada día,Total Acuerdo,De vez en cuando,Mañana
42384,14h00-17h28,San Sebastian,C,San Pedro,80s,Mujer,Si,Municipio,Si,Si,Bicicleta,Familia,A pie,Cada día,Total Acuerdo,Mensual,Mañana
42386,NA,Parque Bolivar,G,San Sebastián,90s,NA,Si,Municipio,No,Si,A pie,Sólo,A pie,Cada día,Desacuerdo,De vez en cuando,Tarde
42019,15h00 -17h00,Loja,I,Sauces,90s,Mujer,Si,Municipio,No,Si,Bicicleta,Familia,Bicicleta,Cada día,Total Acuerdo,NA,Mañana
42384,14h00-17h17,San Sebastian,C,Tierras Coloradas,90s,Mujer,Si,Municipio,Si,Si,Bicicleta,Amigos,A pie,Cada día,Total Acuerdo,NA,Noche
42386,15h00 -17h00,Loja,H,Sauces,80s,Hombre,Si,Municipio,No,Si,Bicicleta,Sólo,Bicicleta,NA,Total Acuerdo,NA,Mañana
42386,15h00 -17h00,Loja,H,Sauces,90s,Hombre,Si,Municipio,No,Si,Bicicleta,Sólo,Bicicleta,NA,Acuerdo,NA,Mañana
17//2016,11H00-13H00,Parque Bolivar,E,Daniel Alvarez,80s,Hombre,Si,Municipio,Si,NA,NA,NA,A pie,NA,Total desacuerdo,De vez en cuando,Noche
42384,17:45h00-18:30h00,Tebaida,B,La Tebaida,90s,Mujer,No,Boca a boca,No,No,NA,NA,A pie,Cada día,Total Acuerdo,NA,Mañana
42387,18:00h00-18:30h00,Tebaida,B,La Banda,90s,Hombre,Si,Otro,Si,No,NA,NA,A pie,NA,Total Acuerdo,Mensual,Tarde
42384,15:00h00-18:30h00,Parque Lineal,B,Daniel Alvarez,90s,Mujer,No,Otro,No,No,NA,NA,A pie,Cada día,Total Acuerdo,De vez en cuando,Tarde
42384,17:00h00-18:30h00,"Cancha ""La Tebaida""",B,Época,90s,Hombre,No,Otro,Si,Si,Bicicleta,Amigos,Bicicleta y a pie,Cada día,Total Acuerdo,NA,Mañana
42386,12h00-13h00,Punzara,A,Zamora Huayco,70s,Mujer,No,Participante,No,No,NA,NA,A pie,Cada día,Total Acuerdo,NA,Tarde
42386,12h00-13h00,Punzara,A,Chuquiribamba,80s,Hombre,No,Participante,No,No,NA,NA,A pie,Cada día,Ni uno ni otro,NA,Mañana
