Observador,Decada,Sexo,ConoceCiclovia,ComoConoce,ConoceZP,AsistCiclovia,ComoParticip,ConQuien,CirculaSinCoche,Frecuencia,DeAcuerdo,ConQFrecuencia,Horario
DC,90s,Mujer,Si,Redes Sociales,Si,Si,Bicicleta y a pie,Amigos,Bicicleta y a pie,diario,5,semanal,mañana
AM,90s,,Si,Municipio,No,Si,A pie,solo,A pie,diario,2,de vez en cuando,tarde
EO,90s,Hombre,Si,Redes Sociales,No,Si,Bicicleta,solo,Bicicleta ,diario,5,semanal,mañana
EO,80s,Hombre,Si,Municipio,No,Si,Bicicleta,solo,Bicicleta ,semanal,5,semanal,mañana
EO,80s,Hombre,Si,Prensa ,No,Si,Bicicleta,Familia ,Bicicleta ,semanal,5,semanal,mañana
EO,80s,Hombre,Si,Prensa ,No,Si,Bicicleta,solo,Bicicleta ,semanal,4,mensual,mañana
EO,90s,Hombre,Si,Redes Sociales,No,Si,Bicicleta,Familia ,Bicicleta ,semanal,5,semanal,mañana
EO,90s,Hombre,Si,Municipio,No,Si,Bicicleta,solo,Bicicleta ,semanal,4,semanal,mañana
EO,90s,Hombre,Si,Redes Sociales,No,Si,Bicicleta,Familia ,Bicicleta ,semanal,4,de vez en cuando,mañana
EO,90s,Mujer,Si,Redes Sociales,No,Si,Bicicleta,solo,Bicicleta ,de vez en cuando,5,semanal,mañana
JR,90s,Mujer,Si,Prensa ,Si,Si,Bicicleta,Familia ,Bicicleta ,diario,5,semanal,noche
JR,90s,Mujer,Si,Redes Sociales,Si,Si,Bicicleta,Familia ,Bicicleta ,semanal,5,semanal,mañana
JR,90s,Hombre,Si,Participante,Si,Si,Bicicleta,Amigos,Bicicleta ,semanal,5,semanal,mañana
JA,40s,Hombre,Si,Municipio,Si,Si,A pie,solo,A pie,diario,5,de vez en cuando,mañana
JA,80s,Hombre,Si,Prensa ,Si,Si,A pie,Familia ,A pie,diario,5,semanal,mañana
JA,90s,Hombre,Si,Participante,Si,Si,Bicicleta,Amigos,A pie,diario,5,semanal,noche
JL,80s,Hombre,Si,Prensa ,Si,Si,Bicicleta,Amigos,A pie,diario,5,semanal,mañana
JC,90s,Mujer,Si,Municipio,No,Si,Bicicleta,Familia ,Bicicleta ,diario,5,semanal,mañana
LC,60s,Mujer,Si,Redes Sociales,Si,Si,Bicicleta,Amigos,A pie,diario,5,de vez en cuando,tarde
LC,80s,Mujer,Si,Redes Sociales,Si,Si,Bicicleta,Amigos,A pie,diario,5,mensual,tarde
LC,80s,Mujer,Si,Municipio,Si,Si,Bicicleta,Familia ,A pie,diario,5,mensual,mañana
LC,90s,Mujer,Si,Municipio,Si,Si,Bicicleta,Amigos,A pie,diario,5,semanal,noche
LC,90s,Hombre,Si,Participante,Si,Si,Bicicleta,Amigos,A pie,diario,5,semanal,mañana
PC,90s,Hombre,Si,Redes Sociales,Si,Si,Bicicleta,Amigos,Bicicleta ,semanal,5,semanal,tarde
AC,80s,Hombre,Si,Municipio,Si,,,,A pie,semanal,1,de vez en cuando,noche
JC,90s,Mujer,Si,Redes Sociales,No,,,,A pie,diario,3,de vez en cuando,noche
PC,80s,Hombre,Si,Redes Sociales,No,,,,A pie,diario,3,mensual,noche
PC,80s,Mujer,Si,Publicidad,No,,,,A pie,diario,4,de vez en cuando,noche
PC,90s,Mujer,Si,Redes Sociales,No,,,,A pie,diario,5,semanal,tarde
PC,90s,Hombre,Si,,No,,,,A pie,diario,5,de vez en cuando,mañana
PC,90s,Hombre,Si,Prensa ,No,,,,A pie,diario,5,mensual,mañana
PC,90s,Hombre,Si,Redes Sociales,No,,,,A pie,diario,1,nunca,noche
PC,80s,Hombre,Si,Redes Sociales,No,,,,A pie,semanal,2,de vez en cuando,noche
PC,90s,Mujer,Si,Redes Sociales,Si,,,,Bicicleta ,semanal,5,mensual,mañana
