Observador,Decada,Sexo,ConoceCiclovia,ComoConoce,ConoceZP,AsistCiclovia,ComoParticip,ConQuien,CirculaSinCoche,Frecuencia,DeAcuerdo,ConQFrecuencia,Horario
JL,90s,Hombre,No,Prensa ,Si,No,,,Otro Veh’culo,semanal,5,semanal,mañana
JC,70s,Hombre,No,,No,No,,,A pie,diario,1,nunca,noche
JC,80s,Hombre,No,,No,No,,,A pie,diario,3,de vez en cuando,noche
JC,80s,Mujer,No,,No,No,,,A pie,diario,5,de vez en cuando,mañana
JC,80s,Hombre,No,,Si,No,,,A pie,diario,5,semanal,tarde
JC,90s,Hombre,No,,No,No,,,A pie,diario,3,mensual,mañana
JC,90s,Mujer,No,,No,No,,,A pie,semanal,4,mensual,mañana
JC,80s,Mujer,No,,No,No,,,A pie,de vez en cuando,3,nunca,Ninguna
JC,80s,Mujer,No,,No,No,,,A pie,mensual,1,de vez en cuando,mañana
JC,80s,Mujer,No,,No,No,,,A pie,mensual,1,nunca,tarde
JC,90s,Mujer,No,,No,No,,,A pie,mensual,5,mensual,mañana
JC,80s,Mujer,No,,No,No,,,A pie,semanal,2,mensual,mañana
LC,50s,Mujer,No,,No,No,No,No,A pie,diario,3,de vez en cuando,noche
LC,50s,Mujer,No,,No,No,No,No,A pie,diario,3,mensual,noche
LC,50s,Mujer,No,,No,No,No,No,A pie,diario,4,de vez en cuando,noche
LC,70s,Hombre,No,,No,No,No,No,A pie,diario,3,de vez en cuando,mañana
LC,70s,Hombre,No,,No,No,No,No,A pie,diario,4,semanal,noche
LC,70s,Hombre,No,,No,No,No,No,A pie,diario,2,semanal,noche
LC,80s,Hombre,No,,No,No,No,No,A pie,diario,1,mensual,noche
LC,80s,Hombre,No,,No,No,No,No,A pie,diario,3,de vez en cuando,mañana
LC,90s,Hombre,No,,No,No,No,No,A pie,diario,2,mensual,mañana
LC,90s,Hombre,No,,No,No,No,No,A pie,diario,2,mensual,mañana
LC,90s,Hombre,No,,No,No,No,No,A pie,diario,3,mensual,tarde
LC,90s,Mujer,No,,No,No,No,No,A pie,diario,4,mensual,tarde
LC,90s,Mujer,No,,No,No,No,No,A pie,diario,4,mensual,mañana
LC,90s,Hombre,No,,No,No,No,No,A pie,diario,4,de vez en cuando,noche
LC,90s,Mujer,No,,No,No,No,No,A pie,diario,2,semanal,tarde
LC,90s,Mujer,No,,No,No,No,No,A pie,diario,3,semanal,mañana
LC,90s,Mujer,No,,No,No,No,No,A pie,diario,1,mensual,mañana
AC,90s,Mujer,No,,No,Si,Bicicleta,Amigos,A pie,de vez en cuando,5,semanal,mañana
JL,90s,Hombre,No,Otro: Propaganda,Si,Si,Bicicleta,Amigos,Bicicleta y a pie,diario,5,semanal,mañana
AC,50s,Mujer,No,,No,No,,,A pie,diario,4,de vez en cuando,tarde
AC,70s,Mujer,No,,No,No,,,A pie,diario,4,mensual,tarde
AC,70s,Hombre,No,,No,No,,,A pie,diario,5,semanal,mañana
AC,80s,Hombre,No,,,No,,,A pie,diario,4,de vez en cuando,tarde
AC,90s,Mujer,No,,No,No,,,A pie,diario,5,semanal,mañana
AC,60s,Hombre,No,,No,No,,,A pie,semanal,2,mensual,noche
AC,90s,Mujer,No,,No,No,,,A pie,semanal,2,de vez en cuando,tarde
AC,80s,Hombre,No,,No,No,,,A pie,de vez en cuando,5,semanal,mañana
AC,80s,Hombre,No,,No,No,,,A pie,Rara vez,4,mensual,mañana
JR,70s,Hombre,No,,No,No,,,A pie,diario,1,,
JR,80s,Hombre,No,,No,No,,,A pie,diario,5,de vez en cuando,noche
JR,80s,Hombre,No,,No,No,,,A pie,diario,3,de vez en cuando,mañana
JR,80s,Mujer,No,,No,No,,,A pie,diario,1,nunca,
